Cust ID, Booking Date, Time, Number of Guests
lbro, 2022-01-11, 2pm, 0 
lbro, 2022-01-18, 6pm, 2 
abcd, 2022-02-11, 6pm, 0 
lbro, 2022-02-12, 2pm, 1 
lbro, 2022-02-23, 2pm, 0 
abcd, 2022-03-23, 2pm, 3 
abcd, 2022-03-29, 2pm, 3 
lbro, 2022-04-04, 6pm, 1 
abcd, 2022-05-04, 2pm, 3 
lbro, 2022-05-12, 6pm, 3 
abcd, 2022-08-20, 2pm, 1 
lbro, 2022-09-17, 2pm, 3 
abcd, 2022-10-22, 6pm, 1 
lbro, 2022-11-12, 2pm, 3 
lbro, 2022-12-08, 2pm, 3 
abcd, 2022-12-19, 2pm, 2 
abcd, 2023-04-06, 6pm, 1 
lbro, 2023-06-02, 2pm, 2 
lbro, 2023-08-12, 6pm, 3 
abcd, 2023-08-29, 6pm, 2 
lbro, 2023-09-26, 6pm, 0 
lbro, 2023-12-03, 2pm, 1 
abcd, 2024-01-22, 2pm, 3 
abcd, 2024-02-16, 6pm, 1 
abcd, 2024-03-07, 2pm, 0 
abcd, 2024-03-29, 6pm, 3 
lbro, 2024-03-31, 6pm, 1 
abcd, 2024-04-23, 2pm, 1 
abcd, 2024-07-15, 6pm, 1 
lbro, 2024-08-18, 2pm, 1 
lbro, 2024-09-14, 2pm, 1 
lbro, 2024-09-18, 6pm, 2 
abcd, 2024-10-22, 6pm, 2 
abcd, 2024-11-22, 6pm, 0 
lbro, 2024-12-16, 2pm, 2 
lbro, 2024-12-19, 2pm, 1 
abcd, 2025-01-02, 2pm, 0 
lbro, 2025-02-25, 2pm, 2 
abcd, 2025-03-24, 6pm, 0 
lbro, 2025-04-06, 2pm, 3 
lbro, 2025-04-09, 2pm, 2 
abcd, 2025-04-14, 2pm, 3 
lbro, 2025-05-06, 6pm, 3 
lbro, 2025-07-14, 6pm, 0 
lbro, 2025-08-08, 2pm, 2 
abcd, 2025-09-03, 6pm, 2 
abcd, 2025-10-19, 6pm, 0 
abcd, 2025-10-22, 2pm, 0 
abcd, 2025-11-26, 6pm, 3 
abcd, 2025-12-03, 6pm, 1
