GameID,Rental Date,Return Date,CustID 
rskf02, 2022-04-05, 2022-04-12, lbro 
dung07, 2022-06-23, 2022-06-25, abcd 
f124, 2022-10-02, 2022-10-04, abcd 
chs04, 2022-11-06, 2022-11-13, lbro 
red10, 2023-01-12, 2023-01-14, abcd 
f124, 2023-01-29, 2023-02-05, lbro 
gta05, 2023-03-25, 2023-03-27, abcd 
dung07, 2023-04-23, 2023-04-25, abcd 
dung07, 2023-04-25, 2023-04-27, abcd
mon01, 2023-06-03, 2023-06-05, abcd 
f124, 2023-07-04, 2023-07-11, lbro 
uno03, 2023-07-27, 2023-07-29, abcd 
f124, 2023-08-07, 2023-08-14, lbro 
code08, 2023-08-21, 2023-08-28, lbro 
blw06, 2023-09-23, 2023-09-25, abcd 
red10, 2023-10-11, 2023-10-13, abcd 
bat09, 2023-10-23, 2023-10-30, lbro 
eld12, 2023-11-08, 2023-11-15, lbro 
code08, 2023-11-16, 2023-11-18, abcd 
dung07, 2023-12-06, 2023-12-13, lbro 
mc01, 2023-12-27, 2023-12-29, abcd 
eld12, 2024-03-06, 2024-03-08, abcd 
blw06, 2024-03-24, 2024-03-26, abcd 
chs04, 2024-03-27, 2024-04-03, lbro 
blw06, 2024-04-30, 2024-05-07, lbro 
batt09, 2024-05-25, 2024-06-01, lbro 
code08, 2024-06-12, 2024-06-14, abcd 
chs04, 2024-07-30, 2024-08-01, abcd 
chs04, 2024-08-19, 2024-08-26, lbro 
f124, 2024-08-25, 2024-09-01, lbro 
gdw04, 2024-11-06, 2024-11-13, lbro 
mc01, 2024-11-28, 2024-12-05, lbro 
red10, 2024-12-17, 2024-12-19, abcd 
code08, 2025-02-06, 2025-02-13, lbro 
lud05, 2025-02-27, 2025-03-01, abcd 
bat09, 2025-03-19, 2025-03-26, lbro 
batt09, 2025-03-25, 2025-04-01, lbro 
rsk02, 2025-04-01, 2025-04-08, lbro 
gdw04, 2025-04-24, 2025-04-26, abcd 
f124, 2025-04-25, 2025-04-27, abcd 
scra10, 2025-06-16, 2025-06-18, abcd 
chs04, 2025-07-05, 2025-07-12, lbro 
mc01, 2025-07-21, 2025-07-23, abcd 
eld12, 2025-09-19, 2025-09-26, lbro 
cyb13, 2025-09-22, 2025-09-29, lbro 
cyb13, 2025-11-20, 2025-11-27, lbro 
eld12, 2025-12-05, 2025-12-07, abcd 
scra10, 2026-01-04, 2026-01-11, lbro
